# Supplementary Table ST12. Abundance data for all histone proteins and non-histone chromatin proteins with abundance values of more than 0.01% of Histone H4.,,,,,,,
SimChrom-SL,Gene,"Abundance relative to histone H4, %",Number of nucleosomes per protein,"Abundance PaxDb_PA, ppm",Entry,Uniquely localized in nucleus,Details (for Figure 4D)
Housekeeping DNA-binding TFs,STAT4,0.014,3477.71,1.57,Q14765,,
Housekeeping DNA-binding TFs,ZBTB1,0.014,3500.0,1.56,Q9Y2K1,Yes,
Housekeeping DNA-binding TFs,ZNF146,0.014,3568.63,1.53,Q15072,Yes,
Housekeeping DNA-binding TFs,ATF3,0.014,3640.0,1.5,P18847,Yes,
Housekeeping DNA-binding TFs,XBP1,0.012,4014.71,1.36,P17861,,
Housekeeping DNA-binding TFs,BRCA1,0.012,4105.26,1.33,P38398,,
Housekeeping DNA-binding TFs,MNT,0.012,4105.26,1.33,Q99583,,
Housekeeping DNA-binding TFs,GZF1,0.012,4333.33,1.26,Q9H116,,
Housekeeping DNA-binding TFs,ZNF644,0.011,4403.23,1.24,Q9H582,,
Housekeeping DNA-binding TFs,ZNF280D,0.011,4439.02,1.23,Q6N043,,
Housekeeping DNA-binding TFs,ZBTB11,0.011,4439.02,1.23,O95625,Yes,
Housekeeping DNA-binding TFs,ELK1,0.011,4475.41,1.22,P19419,,
Housekeeping DNA-binding TFs,RFX3,0.011,4666.67,1.17,P48380,,
Housekeeping DNA-binding TFs,ZNF580,0.011,4666.67,1.17,Q9UK33,Yes,
Housekeeping DNA-binding TFs,ZNF397,0.01,4963.64,1.1,Q8NF99,,
Housekeeping DNA-binding TFs,GTF2IRD2B,0.01,4963.64,1.1,Q6EKJ0,,
Housekeeping DNA-binding TFs,NFIL3,0.01,4963.64,1.1,Q16649,Yes,
Housekeeping DNA-binding TFs,GTF2IRD2,0.01,5009.17,01.09,Q86UP8,,
Housekeeping DNA-binding TFs,HIVEP1,0.01,5102.8,01.07,P15822,,
Housekeeping DNA-binding TFs,ZEB2,0.01,5150.94,01.06,O60315,,
Housekeeping DNA-binding TFs,JDP2,0.01,5150.94,01.06,Q8WYK2,Yes,
Housekeeping DNA-binding TFs,ZNF121,0.01,5200.0,01.05,P58317,,
Housekeeping DNA-binding TFs,TGIF1,0.01,5200.0,01.05,Q15583,,
Housekeeping DNA-binding TFs,KLF13,0.01,5250.0,01.04,Q9Y2Y9,,
Housekeeping DNA-binding TFs,CREB3L4,0.009,5352.94,01.02,Q8TEY5,,
Housekeeping DNA-binding TFs,ZNF76,0.009,5498.49,0.993,P36508,,
Housekeeping DNA-binding TFs,IRF1,0.009,5515.15,0.99,P10914,,
Housekeeping DNA-binding TFs,E4F1,0.009,5543.15,0.985,Q66K89,,
Housekeeping DNA-binding TFs,ZEB1,0.008,5941.24,0.919,P37275,Yes,
Housekeeping DNA-binding TFs,TFDP2,0.008,5980.28,0.913,Q14188,,
Housekeeping DNA-binding TFs,NACC2,0.008,6000.0,0.91,Q96BF6,,
Housekeeping DNA-binding TFs,ELK3,0.008,6261.47,0.872,P41970,,
Housekeeping DNA-binding TFs,ZNF521,0.008,6562.5,0.832,Q96K83,Yes,
Housekeeping DNA-binding TFs,ZNF692,0.007,6674.82,0.818,Q9BU19,Yes,
Housekeeping DNA-binding TFs,ZNF3,0.007,6682.99,0.817,P17036,Yes,
Housekeeping DNA-binding TFs,ZSCAN29,0.007,6774.19,0.806,Q8IWY8,,
Housekeeping DNA-binding TFs,FOXO4,0.007,6911.39,0.79,P98177,,
Housekeeping DNA-binding TFs,TGIF2,0.007,6937.74,0.787,Q9GZN2,,
Housekeeping DNA-binding TFs,ZBTB40,0.007,6964.29,0.784,Q9NUA8,Yes,
Housekeeping DNA-binding TFs,ZNF48,0.007,7090.91,0.77,Q96MX3,,
Housekeeping DNA-binding TFs,SOX12,0.007,7165.35,0.762,O15370,Yes,
Housekeeping DNA-binding TFs,HIVEP2,0.007,7551.87,0.723,P31629,,
Housekeeping DNA-binding TFs,ZNF408,0.006,7856.12,0.695,Q9H9D4,,
Housekeeping DNA-binding TFs,ZBTB5,0.006,7913.04,0.69,O15062,,
Housekeeping DNA-binding TFs,ARNTL,0.006,7970.8,0.685,O00327,,
Housekeeping DNA-binding TFs,ZNF664,0.006,8041.24,0.679,Q8N3J9,Yes,
Housekeeping DNA-binding TFs,MLXIP,0.006,8076.92,0.676,Q9HAP2,,
Housekeeping DNA-binding TFs,ZNF516,0.006,8680.45,0.629,Q92618,,
Housekeeping DNA-binding TFs,ZKSCAN8,0.006,8792.27,0.621,Q15776,,
Housekeeping DNA-binding TFs,NFE2L2,0.005,9176.47,0.595,Q16236,,
Housekeeping DNA-binding TFs,RLF,0.005,9238.58,0.591,Q13129,Yes,
Housekeeping DNA-binding TFs,ZNF587B,0.005,9238.58,0.591,E7ETH6,,
Housekeeping DNA-binding TFs,ZBTB17,0.005,9927.27,0.55,Q13105,,
Housekeeping DNA-binding TFs,ZBTB47,0.005,9963.5,0.548,Q9UFB7,Yes,
Housekeeping DNA-binding TFs,ZBTB43,0.005,10055.25,0.543,O43298,Yes,
Housekeeping DNA-binding TFs,RBAK,0.005,10092.42,0.541,Q9NYW8,Yes,
Housekeeping DNA-binding TFs,E2F3,0.005,10111.11,0.54,O00716,,
Housekeeping DNA-binding TFs,ZNF696,0.005,10340.91,0.528,Q9H7X3,Yes,
Housekeeping DNA-binding TFs,FOSB,0.005,10540.54,0.518,P53539,Yes,
Housekeeping DNA-binding TFs,ADNP2,0.005,10601.94,0.515,Q6IQ32,,
Housekeeping DNA-binding TFs,ZNF746,0.005,10726.92,0.509,Q6NUN9,,
Housekeeping DNA-binding TFs,ZBTB45,0.005,11008.06,0.496,Q96K62,,
Housekeeping DNA-binding TFs,ZNF655,0.004,11165.64,0.489,Q8N720,,
Housekeeping DNA-binding TFs,ZNF275,0.004,11211.5,0.487,Q9NSD4,Yes,
Housekeeping DNA-binding TFs,SKI,0.004,11234.57,0.486,P12755,,
Housekeeping DNA-binding TFs,GLI4,0.004,11257.73,0.485,P10075,,
Housekeeping DNA-binding TFs,ZNF331,0.004,11518.99,0.474,Q9NQX6,Yes,
Housekeeping DNA-binding TFs,ZNF526,0.004,11666.67,0.468,Q8TF50,,
Housekeeping DNA-binding TFs,ZNF417,0.004,11741.94,0.465,Q8TAU3,Yes,
Housekeeping DNA-binding TFs,ZNF444,0.004,11741.94,0.465,Q8N0Y2,Yes,
Housekeeping DNA-binding TFs,MYPOP,0.004,11818.18,0.462,Q86VE0,Yes,
Housekeeping DNA-binding TFs,ZBTB22,0.004,11973.68,0.456,O15209,Yes,
Housekeeping DNA-binding TFs,ZSCAN26,0.004,12269.66,0.445,Q16670,Yes,
Housekeeping DNA-binding TFs,MTF1,0.004,13062.2,0.418,Q14872,,
Housekeeping DNA-binding TFs,HSF2,0.004,13615.96,0.401,Q03933,,
Housekeeping DNA-binding TFs,KLF10,0.004,13718.59,0.398,Q13118,,
Housekeeping DNA-binding TFs,ZNF174,0.004,13718.59,0.398,Q15697,,
Housekeeping DNA-binding TFs,ZNF764,0.004,14255.87,0.383,Q96H86,,
Housekeeping DNA-binding TFs,ZNF814,0.003,14836.96,0.368,B7Z6K7,,
Housekeeping DNA-binding TFs,CREB3L2,0.003,15041.32,0.363,Q70SY1,,
Housekeeping DNA-binding TFs,ZNF467,0.003,15600.0,0.35,Q7Z7K2,,
Housekeeping DNA-binding TFs,ZSCAN21,0.003,15734.87,0.347,Q9Y5A6,,
Housekeeping DNA-binding TFs,ZNF587,0.003,16058.82,0.34,Q96SQ5,Yes,
Housekeeping DNA-binding TFs,ZBTB18,0.003,16153.85,0.338,Q99592,,
Housekeeping DNA-binding TFs,SREBF2,0.003,16298.51,0.335,Q12772,,
Housekeeping DNA-binding TFs,E2F6,0.003,16545.45,0.33,O75461,Yes,
Housekeeping DNA-binding TFs,TSHZ3,0.003,17115.99,0.319,Q63HK5,,
Housekeeping DNA-binding TFs,ZNF770,0.003,17333.33,0.315,Q6IQ21,,
Housekeeping DNA-binding TFs,ZNF395,0.003,17444.09,0.313,Q9H8N7,,
Housekeeping DNA-binding TFs,ZNF672,0.003,17612.9,0.31,Q499Z4,Yes,
Housekeeping DNA-binding TFs,ZKSCAN4,0.003,17612.9,0.31,Q969J2,Yes,
Housekeeping DNA-binding TFs,KLF6,0.003,17669.9,0.309,Q99612,,
Housekeeping DNA-binding TFs,ZNF264,0.003,18139.53,0.301,O43296,Yes,
Housekeeping DNA-binding TFs,ZNF784,0.003,18445.95,0.296,Q8NCA9,Yes,
Housekeeping DNA-binding TFs,ZSCAN31,0.003,18508.47,0.295,Q96LW9,,
Housekeeping DNA-binding TFs,ZNF394,0.003,18508.47,0.295,Q53GI3,,
Housekeeping DNA-binding TFs,ZNF250,0.003,18827.59,0.29,P15622,,
Housekeeping DNA-binding TFs,ZNF202,0.003,19024.39,0.287,O95125,,
Housekeeping DNA-binding TFs,PLAGL1,0.002,20449.44,0.267,Q9UM63,Yes,
Housekeeping DNA-binding TFs,ZNF436,0.002,20681.82,0.264,Q9C0F3,,
Housekeeping DNA-binding TFs,DDIT3,0.002,21581.03,0.253,P35638,,
Housekeeping DNA-binding TFs,ZNF184,0.002,21927.71,0.249,Q99676,Yes,
Housekeeping DNA-binding TFs,ZNF320,0.002,21927.71,0.249,A2RRD8,,
Housekeeping DNA-binding TFs,ZNF586,0.002,22750.0,0.24,Q9NXT0,,
Housekeeping DNA-binding TFs,PRDM1,0.002,22845.19,0.239,O75626,,
Housekeeping DNA-binding TFs,IKZF5,0.002,23333.33,0.234,Q9H5V7,,
Housekeeping DNA-binding TFs,CREBZF,0.002,24266.67,0.225,Q9NS37,,
Housekeeping DNA-binding TFs,KLF9,0.002,24705.88,0.221,Q13886,Yes,
Housekeeping DNA-binding TFs,ZBED4,0.002,25277.78,0.216,O75132,,
Housekeeping DNA-binding TFs,PRDM4,0.002,27029.7,0.202,Q9UKN5,Yes,
Housekeeping DNA-binding TFs,SKIL,0.002,27715.74,0.197,P12757,,
Housekeeping DNA-binding TFs,ZNF517,0.002,27857.14,0.196,Q6ZMY9,Yes,
Housekeeping DNA-binding TFs,ETV5,0.002,28437.5,0.192,P41161,,
Housekeeping DNA-binding TFs,ZNF205,0.002,28437.5,0.192,O95201,Yes,
Housekeeping DNA-binding TFs,ATF4,0.002,28736.84,0.19,P18848,,
Housekeeping DNA-binding TFs,ETS2,0.002,29513.51,0.185,P15036,,
Housekeeping DNA-binding TFs,CREBL2,0.002,29836.07,0.183,O60519,,
Housekeeping DNA-binding TFs,ZNF416,0.002,30000.0,0.182,Q9BWM5,,
Housekeeping DNA-binding TFs,ZNF260,0.002,31929.82,0.171,Q3ZCT1,Yes,
Housekeeping DNA-binding TFs,ZNF776,0.002,32500.0,0.168,Q68DI1,,
Housekeeping DNA-binding TFs,THAP1,0.002,32500.0,0.168,Q9NVV9,Yes,
Housekeeping DNA-binding TFs,ZFP1,0.002,32500.0,0.168,Q6P2D0,Yes,
Housekeeping DNA-binding TFs,ELK4,0.002,33292.68,0.164,P28324,,
Housekeeping DNA-binding TFs,ZNF589,0.001,34339.62,0.159,Q86UQ0,Yes,
Housekeeping DNA-binding TFs,MYNN,0.001,36158.94,0.151,Q9NPC7,Yes,
Housekeeping DNA-binding TFs,ZNF805,0.001,36400.0,0.15,Q5CZA5,Yes,
Housekeeping DNA-binding TFs,ZNF641,0.001,41052.63,0.133,Q96N77,Yes,
Housekeeping DNA-binding TFs,ZNF337,0.001,43333.33,0.126,Q9Y3M9,,
Housekeeping DNA-binding TFs,ZNF34,0.001,43680.0,0.125,Q8IZ26,,
Housekeeping DNA-binding TFs,HIF1A,0.001,43680.0,0.125,Q16665,,
Housekeeping DNA-binding TFs,TSHZ1,0.001,44390.24,0.123,Q6ZSZ6,Yes,
Housekeeping DNA-binding TFs,PLAGL2,0.001,45123.97,0.121,Q9UPG8,,
Housekeeping DNA-binding TFs,ZNF195,0.001,49189.19,0.111,O14628,,
Housekeeping DNA-binding TFs,ZNF324,0.001,52000.0,0.105,O75467,,
Housekeeping DNA-binding TFs,ZSCAN25,0.001,52500.0,0.104,Q6NSZ9,Yes,
Housekeeping DNA-binding TFs,ATF5,0.001,54059.41,0.101,Q9Y2D1,,
Housekeeping DNA-binding TFs,ZFP90,0.001,54059.41,0.101,Q8TF47,,
Housekeeping DNA-binding TFs,ZNF525,0.001,55714.29,0.098,Q8N782,,
Housekeeping DNA-binding TFs,ZNF616,0.001,57473.68,0.095,Q08AN1,,
Housekeeping DNA-binding TFs,ZNF32,0.001,58085.11,0.094,P17041,,
Housekeeping DNA-binding TFs,ZNF627,0.001,58085.11,0.094,Q7L945,Yes,
Housekeeping DNA-binding TFs,ZNF292,0.001,59347.83,0.092,O60281,Yes,
Housekeeping DNA-binding TFs,FOXN3,0.001,60000.0,0.091,O00409,,
Housekeeping DNA-binding TFs,PRDM15,0.001,62045.45,0.088,P57071,Yes,
Housekeeping DNA-binding TFs,ZNF12,0.001,62758.62,0.087,P17014,,
Housekeeping DNA-binding TFs,ZNF7,0.001,63488.37,0.086,P17097,,
Housekeeping DNA-binding TFs,ZFP62,0.001,66585.37,0.082,Q8NB50,,
Housekeeping DNA-binding TFs,ZNF646,0.001,67407.41,0.081,O15015,,
Housekeeping DNA-binding TFs,ZNF267,0.001,69113.92,0.079,Q14586,Yes,
Housekeeping DNA-binding TFs,ZNF101,0.001,69113.92,0.079,Q8IZC7,,
Housekeeping DNA-binding TFs,ZNF213,0.001,71842.11,0.076,O14771,,
Housekeeping DNA-binding TFs,ZNF263,0.001,72800.0,0.075,O14978,,
Housekeeping DNA-binding TFs,ZNF669,0.001,74794.52,0.073,Q96BR6,,
Housekeeping DNA-binding TFs,ZKSCAN3,0.001,74794.52,0.073,Q9BRR0,,
Housekeeping DNA-binding TFs,ZNF561,0.001,76901.41,0.071,Q8N587,Yes,
Housekeeping DNA-binding TFs,ZNF791,0.001,78000.0,0.07,Q3KP31,Yes,
Housekeeping DNA-binding TFs,ZNF684,0.001,80294.12,0.068,Q5T5D7,,
Housekeeping DNA-binding TFs,KLF7,0.001,81492.54,0.067,O75840,Yes,
Housekeeping DNA-binding TFs,ZNF141,0.001,81492.54,0.067,Q15928,,
Housekeeping DNA-binding TFs,ZSCAN5A,0.001,81492.54,0.067,Q9BUG6,,
Housekeeping DNA-binding TFs,ZNF322,0.001,81492.54,0.067,Q6U7Q0,,
Housekeeping DNA-binding TFs,ZNF761,0.001,82727.27,0.066,Q86XN6,,
Housekeeping DNA-binding TFs,ZNF317,0.001,85312.5,0.064,Q96PQ6,Yes,
Housekeeping DNA-binding TFs,TCFL5,0.001,85312.5,0.064,Q9UL49,Yes,
Housekeeping DNA-binding TFs,ZNF227,0.001,86666.67,0.063,Q86WZ6,,
Housekeeping DNA-binding TFs,ZBTB46,0.001,88064.52,0.062,Q86UZ6,Yes,
Housekeeping DNA-binding TFs,ZNF136,0.001,89508.2,0.061,P52737,Yes,
Housekeeping DNA-binding TFs,ZBTB41,0.001,91000.0,0.06,Q5SVQ8,,
Housekeeping DNA-binding TFs,ZNF701,0.001,91000.0,0.06,Q9NV72,,
Housekeeping DNA-binding TFs,ZSCAN16,0.001,95789.47,0.057,Q9H4T2,Yes,
Housekeeping DNA-binding TFs,ZNF518A,0.001,95789.47,0.057,Q6AHZ1,Yes,
Housekeeping DNA-binding TFs,ZNF142,0.001,99272.73,0.055,P52746,Yes,
Housekeeping DNA-binding TFs,ZNF468,0.0,105000.0,0.052,Q5VIY5,,
Housekeeping DNA-binding TFs,CREBRF,0.0,105000.0,0.052,Q8IUR6,Yes,
Housekeeping DNA-binding TFs,ZNF595,0.0,105000.0,0.052,Q8IYB9,,
Housekeeping DNA-binding TFs,ZNF324B,0.0,107058.82,0.051,Q6AW86,,
Housekeeping DNA-binding TFs,ZNF286A,0.0,111428.57,0.049,Q9HBT8,Yes,
Housekeeping DNA-binding TFs,ZNF91,0.0,113750.0,0.048,Q05481,,
Housekeeping DNA-binding TFs,ZNF496,0.0,116170.21,0.047,Q96IT1,,
Housekeeping DNA-binding TFs,ZNF398,0.0,116170.21,0.047,Q8TD17,Yes,
Housekeeping DNA-binding TFs,CSRNP2,0.0,116170.21,0.047,Q9H175,Yes,
Housekeeping DNA-binding TFs,ZNF765,0.0,121333.33,0.045,Q7L2R6,,
Housekeeping DNA-binding TFs,ZNF689,0.0,124090.91,0.044,Q96CS4,Yes,
Housekeeping DNA-binding TFs,ZNF28,0.0,126976.74,0.043,P17035,,
Housekeeping DNA-binding TFs,ZSCAN2,0.0,126976.74,0.043,Q7Z7L9,,
Housekeeping DNA-binding TFs,MZF1,0.0,126976.74,0.043,P28698,,
Housekeeping DNA-binding TFs,ZNF708,0.0,130000.0,0.042,P17019,,
Housekeeping DNA-binding TFs,ZNF33A,0.0,130000.0,0.042,Q06730,,
Housekeeping DNA-binding TFs,ZNF37A,0.0,133170.73,0.041,P17032,,
Housekeeping DNA-binding TFs,ZNF16,0.0,136500.0,0.04,P17020,Yes,
Housekeeping DNA-binding TFs,ZNF766,0.0,136500.0,0.04,Q5HY98,,
Housekeeping DNA-binding TFs,ZNF189,0.0,140000.0,0.039,O75820,,
Housekeeping DNA-binding TFs,FOXN2,0.0,143684.21,0.038,P32314,,
Housekeeping DNA-binding TFs,ZFP30,0.0,151666.67,0.036,Q9Y2G7,,
Housekeeping DNA-binding TFs,ZNF84,0.0,156000.0,0.035,P51523,Yes,
Housekeeping DNA-binding TFs,ZNF33B,0.0,160588.24,0.034,Q06732,,
Housekeeping DNA-binding TFs,ZNF354A,0.0,160588.24,0.034,O60765,Yes,
Housekeeping DNA-binding TFs,ZNF302,0.0,165454.55,0.033,Q9NR11,,
Housekeeping DNA-binding TFs,ZNF773,0.0,165454.55,0.033,Q6PK81,Yes,
Housekeeping DNA-binding TFs,ZNF100,0.0,165454.55,0.033,Q8IYN0,,
Housekeeping DNA-binding TFs,ZNF268,0.0,170625.0,0.032,Q14587,,
Housekeeping DNA-binding TFs,ZNF419,0.0,170625.0,0.032,Q96HQ0,Yes,
Housekeeping DNA-binding TFs,MXD4,0.0,170625.0,0.032,Q14582,,
Housekeeping DNA-binding TFs,ZNF528,0.0,176129.03,0.031,Q3MIS6,,
Housekeeping DNA-binding TFs,HINFP,0.0,176129.03,0.031,Q9BQA5,,
Housekeeping DNA-binding TFs,ZNF816,0.0,182000.0,0.03,Q0VGE8,Yes,
Housekeeping DNA-binding TFs,ZNF529,0.0,182000.0,0.03,Q6P280,Yes,
Housekeeping DNA-binding TFs,ZNF79,0.0,182000.0,0.03,Q15937,,
Housekeeping DNA-binding TFs,ZNF562,0.0,188275.86,0.029,Q6V9R5,Yes,
Housekeeping DNA-binding TFs,ZNF836,0.0,202222.22,0.027,Q6ZNA1,,
Housekeeping DNA-binding TFs,ZNF212,0.0,202222.22,0.027,Q9UDV6,Yes,
Housekeeping DNA-binding TFs,ZNF778,0.0,210000.0,0.026,Q96MU6,Yes,
Housekeeping DNA-binding TFs,ZNF160,0.0,210000.0,0.026,Q9HCG1,,
Housekeeping DNA-binding TFs,ZNF418,0.0,218400.0,0.025,Q8TF45,,
Housekeeping DNA-binding TFs,ZNF569,0.0,218400.0,0.025,Q5MCW4,,
Housekeeping DNA-binding TFs,ZNF605,0.0,218400.0,0.025,Q86T29,,
Housekeeping DNA-binding TFs,ZNF431,0.0,227500.0,0.024,Q8TF32,,
Housekeeping DNA-binding TFs,KLF11,0.0,227500.0,0.024,O14901,,
Housekeeping DNA-binding TFs,ZNF23,0.0,227500.0,0.024,P17027,,
Housekeeping DNA-binding TFs,ZSCAN9,0.0,237391.3,0.023,O15535,,
Housekeeping DNA-binding TFs,ZNF782,0.0,237391.3,0.023,Q6ZMW2,,
Housekeeping DNA-binding TFs,ZNF568,0.0,237391.3,0.023,Q3ZCX4,Yes,
Housekeeping DNA-binding TFs,ZNF440,0.0,248181.82,0.022,Q8IYI8,Yes,
Housekeeping DNA-binding TFs,ZNF548,0.0,260000.0,0.021,Q8NEK5,,
Housekeeping DNA-binding TFs,ZNF197,0.0,260000.0,0.021,O14709,Yes,
Housekeeping DNA-binding TFs,ZNF570,0.0,260000.0,0.021,Q96NI8,Yes,
Housekeeping DNA-binding TFs,ZNF354B,0.0,260000.0,0.021,Q96LW1,Yes,
Housekeeping DNA-binding TFs,ZNF343,0.0,273000.0,0.02,Q6P1L6,Yes,
Housekeeping DNA-binding TFs,ZNF134,0.0,273000.0,0.02,P52741,Yes,
Housekeeping DNA-binding TFs,ZNF253,0.0,287368.42,0.019,O75346,,
Housekeeping DNA-binding TFs,NFE2L1,0.0,287368.42,0.019,Q14494,,
Housekeeping DNA-binding TFs,ZBED3,0.0,303333.33,0.018,Q96IU2,,
Housekeeping DNA-binding TFs,ZNF500,0.0,303333.33,0.018,O60304,,
Housekeeping DNA-binding TFs,ZNF432,0.0,303333.33,0.018,O94892,Yes,
Housekeeping DNA-binding TFs,ZNF225,0.0,303333.33,0.018,Q9UK10,Yes,
Housekeeping DNA-binding TFs,ZBTB26,0.0,303333.33,0.018,Q9HCK0,,
Housekeeping DNA-binding TFs,ZNF438,0.0,321176.47,0.017,Q7Z4V0,,
Housekeeping DNA-binding TFs,CREB3,0.0,321176.47,0.017,O43889,,
Housekeeping DNA-binding TFs,ZNF461,0.0,321176.47,0.017,Q8TAF7,,
Housekeeping DNA-binding TFs,ZFP14,0.0,341250.0,0.016,Q9HCL3,Yes,
Housekeeping DNA-binding TFs,ZNF555,0.0,341250.0,0.016,Q8NEP9,,
Housekeeping DNA-binding TFs,EPAS1,0.0,341250.0,0.016,Q99814,,
Housekeeping DNA-binding TFs,ZNF236,0.0,364000.0,0.015,Q9UL36,,
Housekeeping DNA-binding TFs,ZNF823,0.0,364000.0,0.015,P16415,,
Housekeeping DNA-binding TFs,ZNF18,0.0,364000.0,0.015,P17022,,
Housekeeping DNA-binding TFs,MAF,0.0,364000.0,0.015,O75444,,
Housekeeping DNA-binding TFs,ZNF274,0.0,364000.0,0.015,Q96GC6,,
Housekeeping DNA-binding TFs,ZNF563,0.0,364000.0,0.015,Q8TA94,,
Housekeeping DNA-binding TFs,ZNF565,0.0,364000.0,0.015,Q8N9K5,Yes,
Housekeeping DNA-binding TFs,ZSCAN30,0.0,390000.0,0.014,Q86W11,,
Housekeeping DNA-binding TFs,ZNF841,0.0,390000.0,0.014,Q6ZN19,,
Housekeeping DNA-binding TFs,ZNF420,0.0,390000.0,0.014,Q8TAQ5,Yes,
Housekeeping DNA-binding TFs,ZNF224,0.0,420000.0,0.013,Q9NZL3,Yes,
Housekeeping DNA-binding TFs,ZNF426,0.0,420000.0,0.013,Q9BUY5,Yes,
Housekeeping DNA-binding TFs,ZNF527,0.0,420000.0,0.013,Q8NB42,,
Housekeeping DNA-binding TFs,ZNF319,0.0,420000.0,0.013,Q9P2F9,Yes,
Housekeeping DNA-binding TFs,ZNF57,0.0,420000.0,0.013,Q68EA5,Yes,
Housekeeping DNA-binding TFs,ZNF506,0.0,420000.0,0.013,Q5JVG8,,
Housekeeping DNA-binding TFs,ZNF256,0.0,455000.0,0.012,Q9Y2P7,Yes,
Housekeeping DNA-binding TFs,ZNF737,0.0,455000.0,0.012,O75373,,
Housekeeping DNA-binding TFs,ZNF251,0.0,455000.0,0.012,Q9BRH9,Yes,
Housekeeping DNA-binding TFs,ZNF345,0.0,455000.0,0.012,Q14585,,
Housekeeping DNA-binding TFs,ZNF677,0.0,455000.0,0.012,Q86XU0,,
Housekeeping DNA-binding TFs,ZNF880,0.0,455000.0,0.012,Q6PDB4,,
Housekeeping DNA-binding TFs,ZNF772,0.0,496363.64,0.011,Q68DY9,,
Housekeeping DNA-binding TFs,ZNF549,0.0,496363.64,0.011,Q6P9A3,,
Housekeeping DNA-binding TFs,ZNF480,0.0,496363.64,0.011,Q8WV37,Yes,
DNA-binding transcription factors,NFKB2,0.219,228.45,23.9,Q00653,,
DNA-binding transcription factors,HOXB3,0.187,267.65,20.4,P14651,,
DNA-binding transcription factors,HOXA3,0.154,325.0,16.8,O43365,,
DNA-binding transcription factors,IRF6,0.147,339.13,16.1,O14896,,
DNA-binding transcription factors,NFIB,0.146,343.4,15.9,O00712,,
DNA-binding transcription factors,IRF4,0.139,359.21,15.2,Q15306,,
DNA-binding transcription factors,HOXD3,0.123,407.46,13.4,P31249,,
DNA-binding transcription factors,RUNX1,0.122,410.53,13.3,Q01196,,
DNA-binding transcription factors,SALL2,0.108,462.71,11.8,Q9Y467,,
DNA-binding transcription factors,NFATC2,0.107,466.67,11.7,Q13469,,
DNA-binding transcription factors,KLF16,0.091,547.09,9.98,Q9BXK1,Yes,
DNA-binding transcription factors,TFAP2C,0.083,599.34,9.11,Q92754,Yes,
DNA-binding transcription factors,TFAP2A,0.083,603.98,09.04,P05549,Yes,
DNA-binding transcription factors,GRHL2,0.082,608.7,8.97,Q6ISB3,,
DNA-binding transcription factors,ZC3H8,0.077,646.15,8.45,Q8N5P1,Yes,
DNA-binding transcription factors,MYC,0.077,652.33,8.37,P01106,Yes,
DNA-binding transcription factors,TFAP4,0.072,693.77,7.87,Q01664,,
DNA-binding transcription factors,YY2,0.067,747.95,7.3,O15391,Yes,
DNA-binding transcription factors,PRRX1,0.066,752.07,7.26,P54821,,
DNA-binding transcription factors,IKZF3,0.061,818.59,6.67,Q9UKT9,,
DNA-binding transcription factors,NFXL1,0.058,861.2,6.34,Q6ZNB6,,
DNA-binding transcription factors,TBX3,0.053,951.22,5.74,O15119,,
DNA-binding transcription factors,SALL4,0.051,978.49,5.58,Q9UJQ4,,
DNA-binding transcription factors,RELB,0.047,1056.09,5.17,Q01201,,
DNA-binding transcription factors,RUNX3,0.046,1076.92,05.07,Q13761,,
DNA-binding transcription factors,IRX5,0.046,1094.19,4.99,P78411,,
DNA-binding transcription factors,RFX1,0.045,1100.81,4.96,P22670,,
DNA-binding transcription factors,SP4,0.045,1116.56,4.89,Q02446,,
DNA-binding transcription factors,HOXD4,0.045,1118.85,4.88,P09016,,
DNA-binding transcription factors,SATB2,0.044,1125.77,4.85,Q9UPW6,Yes,
DNA-binding transcription factors,ZNF217,0.042,1176.72,4.64,O75362,Yes,
DNA-binding transcription factors,ZNF652,0.042,1194.75,4.57,Q9Y2D9,Yes,
DNA-binding transcription factors,FLI1,0.041,1205.3,4.53,Q01543,Yes,
DNA-binding transcription factors,TFAP2B,0.04,1238.1,4.41,Q92481,Yes,
DNA-binding transcription factors,HOXB4,0.039,1269.77,4.3,P17483,,
DNA-binding transcription factors,JPH2,0.038,1322.03,4.13,Q9BR39,,
DNA-binding transcription factors,IRF5,0.037,1358.21,04.02,Q13568,,
DNA-binding transcription factors,NFATC4,0.034,1452.13,3.76,Q14934,,
DNA-binding transcription factors,FOXC1,0.033,1520.89,3.59,Q12948,Yes,
DNA-binding transcription factors,TEAD3,0.032,1551.14,3.52,Q99594,,
DNA-binding transcription factors,GRHL1,0.032,1551.14,3.52,Q9NZI5,Yes,
DNA-binding transcription factors,HIC1,0.031,1620.18,3.37,Q14526,,
DNA-binding transcription factors,ZNF280C,0.031,1634.73,3.34,Q8ND82,Yes,
DNA-binding transcription factors,SMAD9,0.03,1644.58,3.32,O15198,,
DNA-binding transcription factors,CASZ1,0.03,1680.0,3.25,Q86V15,,
DNA-binding transcription factors,DACH1,0.029,1733.33,3.15,Q9UI36,Yes,
DNA-binding transcription factors,NEUROD6,0.028,1790.16,03.05,Q96NK8,,
DNA-binding transcription factors,TFAP2E,0.027,1832.21,2.98,Q6VUC0,,
DNA-binding transcription factors,ELF3,0.026,1922.54,2.84,P78545,,
DNA-binding transcription factors,NFATC1,0.023,2184.0,2.5,O95644,,
DNA-binding transcription factors,ZNF668,0.023,2192.77,2.49,Q96K58,Yes,
