# Supplementary Table ST15. List of Pfam domain models in chromatin proteins.,,,,,,
Entry,SimChrom-SL,Total number of Pfam domains,Number of distinct Pfam models,pfamA_ids,Domain annotations,Distinct domain annotations
O94805,Chromatin remodelers,1,1,Actin,,
Q15427,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
Q6P2C8,Regulation of transcription,1,1,Med27,,
Q8N0S6,Centromere-associated,1,1,CENP-L,,
O96019,Chromatin remodelers,1,1,Actin,,
Q86UU0,Regulation of transcription,1,1,BCL9,,
Q15287,RNA processing,1,1,RRM_1,RNA binding,RNA binding
P0DP91,Chromatin remodelers,1,1,DDE_Tnp_1_7,,
P25490,Chromatin remodelers,4,1,zf-C2H2,DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8IZU3,Centromere-associated,1,1,Cor1,,
Q9Y6D9,Centromere-associated,1,1,MAD,,
Q5BKZ1,RNA processing,1,1,AKAP95,,
Q15573,Regulation of transcription,1,1,TAF1_subA,,
Q86U42,RNA processing,1,1,RRM_1,RNA binding,RNA binding
Q8N684,RNA processing,1,1,RRM_1,RNA binding,RNA binding
Q9NZZ3,Centromere-associated,1,1,Snf7,,
Q14919,Regulation of transcription,1,1,CBFD_NFYB_HMF,,
Q9P258,Centromere-associated,4,1,RCC1,,
Q8IYB3,RNA processing,1,1,PWI,,
Q8NFH4,Centromere-associated,1,1,WD40,Histone binding,Histone binding
Q9UEE9,Centromere-associated,1,1,BCNT,,
Q9UJW0,Centromere-associated,2,1,Dynactin_p62,,
Q5RKV6,RNA processing,1,1,RNase_PH,,
Q9UQB9,Centromere-associated,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
Q15528,Regulation of transcription,1,1,Med22,,
Q7RTV0,RNA processing,1,1,PHF5,,
Q9UQN3,Centromere-associated,1,1,Snf7,,
Q9Y3E7,Centromere-associated,1,1,Snf7,,
Q9Y3S2,Centromere-associated,1,1,NOA36,,
Q8NFH3,Centromere-associated,2,1,WD40,Histone binding;Histone binding,Histone binding
P35659,Chromatin remodelers,1,1,DEK_C,,
Q14671,RNA processing,8,1,PUF,,
Q96G25,Regulation of transcription,1,1,Med8,,
Q07021,RNA processing,1,1,MAM33,,
Q12972,RNA processing,1,1,FHA,,
Q9H2X6,Regulation of transcription,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
Q4VC05,Chromatin remodelers,1,1,BCL_N,,
Q08170,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
Q07955,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
Q9H5J8,Regulation of transcription,1,1,TAF1D,,
Q9H944,Regulation of transcription,1,1,Med20,,
Q6AI39,Chromatin remodelers,1,1,GLTSCR1,,
Q15532,Chromatin remodelers,1,1,SSXT,,
Q05519,RNA processing,1,1,RRM_1,RNA binding,RNA binding
Q6P4R8,Chromatin remodelers,1,1,NFRKB_winged,,
Q01130,RNA processing,1,1,RRM_1,RNA binding,RNA binding
Q6PI98,Chromatin remodelers,1,1,YL1_C,,
Q9NPJ6,Regulation of transcription,1,1,Med4,,
Q6STE5,Chromatin remodelers,1,1,SWIB,,
Q9NVC6,Regulation of transcription,1,1,Med17,,
Q12996,RNA processing,1,1,Suf,,
Q15014,Chromatin remodelers,1,1,MRG,,
P60709,Chromatin remodelers,1,1,Actin,,
Q13595,RNA processing,1,1,RRM_1,RNA binding,RNA binding
P68133,Chromatin remodelers,1,1,Actin,,
Q14493,RNA processing,1,1,SLBP_RNA_bind,,
Q96HR3,Regulation of transcription,1,1,Med30,,
Q8IYS8,Centromere-associated,1,1,COMPASS-Shg1,,
Q8IWS0,Centromere-associated,2,1,zf-HC5HC2H,,
Q14331,RNA processing,1,1,FRG1,,
Q9BRQ0,Regulation of transcription,1,1,PHD,"Histone methylation, reader","Histone methylation, reader"
Q9BTT4,Regulation of transcription,1,1,Med10,,
Q13242,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
Q9BUE0,Regulation of transcription,1,1,Med18,,
Q9H1I8,Regulation of transcription,1,1,CUE,,
Q9H204,Regulation of transcription,1,1,Med28,,
Q13573,RNA processing,1,1,SKIP_SNW,,
Q13427,RNA processing,1,1,Pro_isomerase,,
Q13247,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
Q13243,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
Q8N7H5,RNA processing,1,1,Paf1,,
Q9NZ63,Centromere-associated,1,1,Hep_59,,
P78362,RNA processing,2,1,Pkinase,"Histone phosphorylation, writer;Histone phosphorylation, writer","Histone phosphorylation, writer"
Q8WVC0,RNA processing,1,1,Leo1,,
Q9UKM9,RNA processing,1,1,RRM_1,RNA binding,RNA binding
Q96FF9,Centromere-associated,1,1,Sororin,,
Q96FZ7,Centromere-associated,1,1,Snf7,,
Q9UHX1,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
Q96H22,Centromere-associated,1,1,CENP-N,,
Q96IK1,Centromere-associated,1,1,COMPASS-Shg1,,
Q96IY1,Centromere-associated,1,1,Mis14,,
Q9NYV4,RNA processing,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
P35222,Regulation of transcription,4,1,Arm,,
Q9NW13,RNA processing,3,1,RRM_1,RNA binding;RNA binding;RNA binding,RNA binding
Q9NVH2,RNA processing,1,1,INTS7_C,,
Q9BS16,Centromere-associated,1,1,CENP-K,,
Q9BTE1,Centromere-associated,1,1,DCTN5,,
Q9BU64,Centromere-associated,1,1,CENP-O,,
Q8WVK7,Centromere-associated,1,1,SKA2,,
Q9BW27,Centromere-associated,1,1,Nucleopor_Nup85,,
P60903,Regulation of transcription,1,1,S_100,,
Q9UKV3,RNA processing,1,1,SAP,,
Q96EE3,Centromere-associated,4,1,WD40,Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q9Y224,RNA processing,1,1,RLL,,
Q9Y3F4,RNA processing,6,1,WD40,Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
A0JLT2,Regulation of transcription,1,1,Med19,,
Q96BD8,Centromere-associated,1,1,SKA1,,
Q9Y5S9,RNA processing,1,1,RRM_1,RNA binding,RNA binding
Q9Y4Z0,RNA processing,1,1,LSM,,
Q92674,Centromere-associated,1,1,CENP-I,,
Q9Y4Y9,RNA processing,1,1,LSM,,
Q9Y3I0,RNA processing,1,1,RtcB,,
O75448,Regulation of transcription,1,1,Med24_N,,
Q96DE5,Centromere-associated,1,1,ANAPC16,,
Q9Y3C6,RNA processing,1,1,Pro_isomerase,,
O75586,Regulation of transcription,1,1,Med6,,
P07355,Regulation of transcription,4,1,Annexin,,
Q96CF2,Centromere-associated,1,1,Snf7,,
Q9Y388,RNA processing,1,1,RRM_1,RNA binding,RNA binding
Q9Y2W2,RNA processing,1,1,Wbp11,,
Q9Y2W1,RNA processing,1,1,THRAP3_BCLAF1,,
Q9BY43,Centromere-associated,1,1,Snf7,,
Q9BZD4,Centromere-associated,1,1,Nuf2,,
Q9GZM8,Centromere-associated,1,1,NUDE_C,,
Q9NSP4,Centromere-associated,1,1,CENP-M,,
Q96PK6,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
Q96J87,RNA processing,3,1,RRM_1,RNA binding;RNA binding;RNA binding,RNA binding
Q9HBM1,Centromere-associated,1,1,Spindle_Spc25,,
Q9HD42,Centromere-associated,1,1,Snf7,,
Q96DI7,RNA processing,7,1,WD40,Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q9NSG2,Centromere-associated,1,1,DUF4487,,
Q13503,Regulation of transcription,1,1,Med21,,
Q9NTI5,Centromere-associated,1,1,PDS5,,
Q9H900,Centromere-associated,1,1,Zwilch,,
Q92879,RNA processing,3,1,RRM_1,RNA binding;RNA binding;RNA binding,RNA binding
Q9NVF7,Centromere-associated,1,1,F-box,,
Q92804,RNA processing,1,1,RRM_1,RNA binding,RNA binding
Q9NXR1,Centromere-associated,1,1,NUDE_C,,
Q8WYQ5,RNA processing,2,1,dsrm,,
Q9NYP9,Centromere-associated,1,1,Yippee-Mis18,,
Q13951,Regulation of transcription,1,1,CBF_beta,,
Q8NG31,Centromere-associated,1,1,Knl1_RWD_C,,
Q12891,Regulation of transcription,1,1,Glyco_hydro_56,,
Q9BZJ0,RNA processing,2,1,HAT,,
Q01658,Regulation of transcription,1,1,CBFD_NFYB_HMF,,
Q9H081,Centromere-associated,1,1,Mis12,,
Q9BWJ5,RNA processing,1,1,SF3b10,,
Q9H3R5,Centromere-associated,1,1,CENP-H,,
P61968,Regulation of transcription,2,1,LIM,,
Q8WVJ2,Centromere-associated,1,1,CS,,
Q9H410,Centromere-associated,1,1,MIS13,,
Q9BTD8,RNA processing,1,1,RRM_1,RNA binding,RNA binding
Q03701,Regulation of transcription,1,1,CBF,,
Q99547,RNA processing,1,1,MPP6,,
Q8WUX9,Centromere-associated,1,1,Snf7,,
Q8WUM0,Centromere-associated,1,1,Nucleoporin_C,,
Q9BRD0,RNA processing,1,1,Bud13,,
Q9H444,Centromere-associated,1,1,Snf7,,
Q8NI77,Centromere-associated,1,1,Kinesin,,
Q99598,RNA processing,1,1,Translin,,
Q99590,RNA processing,1,1,zf-RING_2,,
P84103,RNA processing,1,1,RRM_1,RNA binding,RNA binding
P78346,RNA processing,1,1,RNase_P_p30,,
P62857,Preribosome-associated,1,1,Ribosomal_S28e,,
Q5EE01,Centromere-associated,1,1,CENP-W,,
Q9Y5N5,DNA de_methylation,1,1,MTS,,
Q86W50,RNA modification,1,1,Methyltransf_10,,
Q16181,Centromere-associated,1,1,Septin,,
Q7Z2T5,RNA modification,2,1,TRM,,
A1L190,DNA recombination,1,1,Synaptonemal_3,,
Q08J23,RNA modification,1,1,Methyltr_RsmB-F,,
Q15172,Centromere-associated,1,1,B56,,
P62318,RNA modification,1,1,LSM,,
P62316,RNA modification,1,1,LSM,,
Q15019,Centromere-associated,1,1,Septin,,
P62314,RNA modification,1,1,LSM,,
P62308,RNA modification,1,1,LSM,,
P62304,RNA modification,1,1,LSM,,
A8MT69,DNA recombination,1,1,CENP-X,,
P43351,DNA recombination,1,1,Rad52_Rad22,,
P63146,DNA recombination,1,1,UQ_con,,
Q15431,DNA recombination,1,1,SCP-1,,
Q29RF7,Centromere-associated,1,1,PDS5,,
Q96PZ0,RNA modification,1,1,TruD,,
Q99714,RNA modification,1,1,adh_short,,
Q96SB8,SMC complexes,1,1,AAA_23,,
Q96MF7,SMC complexes,1,1,zf-Nse,,
P0CAP2,RNA polymerases,1,1,GCOM2,,
P05423,RNA polymerases,1,1,RNA_pol_Rpc4,,
Q96Q83,DNA de_methylation,1,1,2OG-FeII_Oxy_2,,
O75575,RNA polymerases,1,1,RNA_pol_Rpb4,,
O15514,RNA polymerases,1,1,RNA_pol_Rpb4,,
Q96MG7,SMC complexes,1,1,MAGE,,
O15446,RNA polymerases,1,1,RNA_polI_A34,,
Q9BTL3,RNA modification,1,1,RAM,,
O15318,RNA polymerases,1,1,RNA_pol_3_Rpc31,,
Q9BPX3,SMC complexes,1,1,Cnd3,,
Q9Y606,RNA modification,1,1,PseudoU_synth_1,,
Q9UNQ2,RNA modification,1,1,RrnaAD,,
Q9UI30,RNA modification,1,1,Trm112p,,
Q9NX24,RNA modification,1,1,Ribosomal_L7Ae,,
Q9NPE3,RNA modification,1,1,Nop10p,,
Q9Y5J1,Preribosome-associated,1,1,WD40,Histone binding,Histone binding
Q9Y4W2,Preribosome-associated,1,1,Las1,,
Q9Y3T9,Preribosome-associated,1,1,Noc2,,
Q15050,Preribosome-associated,1,1,RRS1,,
Q8NEJ9,Preribosome-associated,1,1,Sas10_Utp3,,
Q8NEF9,Preribosome-associated,1,1,BUD22,,
Q8IWA0,Preribosome-associated,3,1,WD40,Histone binding;Histone binding;Histone binding,Histone binding
Q92547,DNA recombination,7,1,BRCT,,
Q5QJE6,Preribosome-associated,1,1,Fcf2,,
Q9BXW9,DNA recombination,1,1,FancD2,,
Q9NPC3,DNA recombination,1,1,zf-RING_5,,
A2RUB1,DNA repair,1,1,MEIOC,,
Q8NA77,DNA recombination,1,1,TEX19,,
O00255,Telomere-associated,2,1,Menin,,
Q13895,Preribosome-associated,1,1,Bystin,,
O00311,DNA repair,2,1,Pkinase,"Histone phosphorylation, writer;Histone phosphorylation, writer","Histone phosphorylation, writer"
Q14141,Centromere-associated,1,1,Septin,,
O00487,DNA repair,1,1,JAB,,
P78316,Preribosome-associated,1,1,Nop14,,
Q13561,Centromere-associated,1,1,Dynamitin,,
Q8NHR7,DNA recombination,1,1,TERB2,,
Q969X6,Preribosome-associated,2,1,WD40,Histone binding;Histone binding,Histone binding
Q9Y3B9,Preribosome-associated,1,1,Rrp15p,,
Q8IYF3,DNA recombination,1,1,SPO22,,
Q15645,DNA recombination,1,1,AAA,,
Q3KP22,DNA recombination,2,1,MAJIN,,
Q495C1,DNA recombination,1,1,zf-RING_5,,
Q5VVC0,DNA recombination,1,1,SCRE,,
Q9UMY1,Preribosome-associated,1,1,NUC129,,
Q5VXU9,DNA recombination,1,1,DUF5587,,
Q9NYH9,Preribosome-associated,1,1,U3_assoc_6,,
Q8N1H7,DNA recombination,1,1,S6OS1,,
Q9BSC4,Preribosome-associated,1,1,NUC153,,
Q9NRX1,Preribosome-associated,1,1,KH_PNO1_2nd,,
Q8N2Z9,DNA recombination,1,1,CENP-S,,
Q9NQ55,Preribosome-associated,1,1,Brix,,
Q8N6T0,DNA recombination,1,1,DUF4554,,
Q8N815,DNA recombination,1,1,Cyclin_N,,
Q8NA31,DNA recombination,1,1,Myb_DNA-binding,DNA binding,DNA binding
O43513,Regulation of transcription,1,1,Med7,,
P0DPB6,RNA polymerases,1,1,RNA_pol_L_2,,
Q8N3J2,DNA de_methylation,1,1,MT-A70,,
P67809,RNA processing,1,1,CSD,,
Q5FBB7,Centromere-associated,1,1,Shugoshin_N,,
P17931,RNA processing,1,1,Gal-bind_lectin,,
Q96GM5,Chromatin remodelers,1,1,SWIB,,
Q96T23,Chromatin remodelers,1,1,PHD,"Histone methylation, reader","Histone methylation, reader"
P11142,RNA processing,1,1,HSP70,,
P09661,RNA processing,1,1,LRR_9,,
Q9BQE9,Chromatin remodelers,1,1,BCL_N,,
P09012,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
P08579,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
P07910,RNA processing,1,1,RRM_1,RNA binding,RNA binding
O95232,RNA processing,1,1,LUC7,,
O95218,RNA processing,2,1,zf-RanBP,,
Q9BQG0,Chromatin remodelers,1,1,DNA_pol_phi,,
O75940,RNA processing,1,1,SMN_Tudor,,
Q9BXF3,Chromatin remodelers,1,1,Bromodomain,"Histone acetylation, reader","Histone acetylation, reader"
Q7LBR1,Centromere-associated,1,1,Snf7,,
Q9C0K0,Chromatin remodelers,5,1,zf-C2H2,DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9GZN1,Chromatin remodelers,1,1,Actin,,
Q7Z3B3,Centromere-associated,1,1,PEHE,,
P26368,RNA processing,3,1,RRM_1,RNA binding;RNA binding;RNA binding,RNA binding
Q9Y3C7,Regulation of transcription,1,1,Med31,,
P51991,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
P63162,RNA processing,1,1,LSM,,
P62995,RNA processing,1,1,RRM_1,RNA binding,RNA binding
Q9NWA0,Regulation of transcription,1,1,Med9,,
Q9NX70,Regulation of transcription,1,1,Med29,,
Q8WUB8,Chromatin remodelers,2,1,PHD,"Histone methylation, reader;Histone methylation, reader","Histone methylation, reader"
P52298,RNA processing,1,1,RRM_1,RNA binding,RNA binding
P52272,RNA processing,3,1,RRM_1,RNA binding;RNA binding;RNA binding,RNA binding
Q8WUZ0,Chromatin remodelers,1,1,BCL_N,,
Q969G3,Chromatin remodelers,1,1,HMG_box,DNA binding,DNA binding
P41223,RNA processing,1,1,BUD31,,
P38432,RNA processing,1,1,Coilin_N,,
Q9P086,Regulation of transcription,1,1,Med11,,
Q92925,Chromatin remodelers,1,1,SWIB,,
P31942,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
Q9ULK4,Regulation of transcription,1,1,Med23,,
Q7Z7K6,Centromere-associated,1,1,GFA,,
O75494,RNA processing,1,1,RRM_1,RNA binding,RNA binding
Q9H0E9,Chromatin remodelers,2,1,Bromodomain,"Histone acetylation, reader;Histone acetylation, reader","Histone acetylation, reader"
Q7L2Z9,Centromere-associated,1,1,CENP-Q,,
P62875,RNA polymerases,1,1,RNA_pol_N,,
Q9H1D9,RNA polymerases,1,1,RNA_pol_Rpc34,,
Q9H1A7,RNA polymerases,1,1,RNA_pol_L_2,,
Q9GZS1,RNA polymerases,1,1,RNA_pol_I_A49,,
Q9GZM3,RNA polymerases,1,1,RNA_pol_L_2,,
Q8IY18,SMC complexes,1,1,AAA_23,,
Q6IPU0,Centromere-associated,1,1,CENP-P,,
Q9BT43,RNA polymerases,1,1,RNA_pol_3_Rpc31,,
Q5T280,Centromere-associated,1,1,Methyltrn_RNA_3,,
Q86XI2,SMC complexes,1,1,Condensin2nSMC,,
P61218,RNA polymerases,1,1,RNA_pol_Rpb6,,
P53803,RNA polymerases,1,1,DNA_RNApol_7kD,,
P52435,RNA polymerases,1,1,RNA_pol_L_2,,
P52434,RNA polymerases,1,1,RNA_pol_Rpb8,,
Q13686,DNA de_methylation,1,1,2OG-FeII_Oxy_2,,
Q6N021,DNA de_methylation,1,1,Tet_JBP,,
Q6NS38,DNA de_methylation,1,1,2OG-FeII_Oxy_2,,
Q8IX21,SMC complexes,1,1,CANIN,,
Q9P1U0,RNA polymerases,1,1,TFIIS_C,,
O60508,RNA processing,6,1,WD40,Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
Q9HAF1,Chromatin remodelers,1,1,NuA4,,
P42695,SMC complexes,1,1,Cnd1,,
Q9H165,Chromatin remodelers,5,1,zf-C2H2,DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q71F23,Centromere-associated,1,1,CENP-U,,
O43809,RNA processing,1,1,NUDIX_2,,
O43719,RNA processing,2,1,RRM_1,RNA binding;RNA binding,RNA binding
O43660,RNA processing,7,1,WD40,Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding;Histone binding,Histone binding
O43447,RNA processing,1,1,Pro_isomerase,,
O43290,RNA processing,1,1,SART-1,,
Q6P0N0,Centromere-associated,1,1,SANTA,,
Q9NRF9,Chromatin remodelers,1,1,CBFD_NFYB_HMF,,
Q9NRG0,Chromatin remodelers,1,1,CBFD_NFYB_HMF,,
Q9NV56,Chromatin remodelers,1,1,Eaf7,,
Q15003,SMC complexes,1,1,Cnd2,,
O00422,RNA processing,1,1,SAP18,,
Q9NZM4,Chromatin remodelers,1,1,GLTSCR1,,
Q6P1K2,Centromere-associated,1,1,Nnf1,,
O75934,RNA processing,1,1,BCAS2,,
Q8N2R0,Non-Housekeeping DNA-binding TFs,5,1,zf-C2H2,DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9BYE0,Non-Housekeeping DNA-binding TFs,1,1,HLH,,
O14757,Histone modification,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
A6NHT5,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
Q9ULW6,Histone chaperones,1,1,NAP,,
A6NFQ7,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
Q9Y294,Histone chaperones,1,1,ASF1_hist_chap,,
Q9Y6J0,Histone chaperones,1,1,MEF2_binding,,
A6NHQ2,Histone modification,1,1,Fibrillarin,,
A6NCS4,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
A2RU54,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
A0AVK6,Non-Housekeeping DNA-binding TFs,2,1,E2F_TDP,,
A6NJ46,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
A0A2Z4LIS9,Non-Housekeeping DNA-binding TFs,1,1,Forkhead,,
A0A1W2PRP0,Non-Housekeeping DNA-binding TFs,1,1,Forkhead,,
O14965,Histone modification,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
A0A1W2PQ73,Non-Housekeeping DNA-binding TFs,1,1,Ets,,
A0A1W2PPM1,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
A0A1W2PPK0,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
A0A1W2PPF3,Non-Housekeeping DNA-binding TFs,2,1,Homeodomain,DNA binding;DNA binding,DNA binding
A0A1B0GWH4,Non-Housekeeping DNA-binding TFs,1,1,HSF_DNA-bind,,
A6NI15,Non-Housekeeping DNA-binding TFs,1,1,HLH,,
A6NJG6,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
Q9Y3Y2,Methylated DNA binding,1,1,FoP_duplication,,
A8MTJ6,Non-Housekeeping DNA-binding TFs,1,1,Forkhead,,
O00321,Non-Housekeeping DNA-binding TFs,1,1,Ets,,
A6NFF2,Histone chaperones,1,1,NAP,,
O75607,Histone chaperones,1,1,Nucleoplasmin,,
P19338,Histone chaperones,4,1,RRM_1,RNA binding;RNA binding;RNA binding;RNA binding,RNA binding
P49321,Histone chaperones,1,1,SHNi-TPR,,
A8MZ59,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
P55209,Histone chaperones,1,1,NAP,,
A8MTQ0,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
Q86SE8,Histone chaperones,1,1,Nucleoplasmin,,
Q9NVP2,Histone chaperones,1,1,ASF1_hist_chap,,
Q96NT1,Histone chaperones,1,1,NAP,,
Q99457,Histone chaperones,1,1,NAP,,
A6NNA5,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
Q99733,Histone chaperones,1,1,NAP,,
A6NMT0,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
Q9BTT0,Histone chaperones,1,1,LRR_9,,
A6NLW8,Non-Housekeeping DNA-binding TFs,2,1,Homeodomain,DNA binding;DNA binding,DNA binding
A6NJT0,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
A0A0U1RQI7,Non-Housekeeping DNA-binding TFs,2,1,zf-C2H2,DNA binding;DNA binding,DNA binding
O43318,Histone modification,1,1,PK_Tyr_Ser-Thr,"Histone phosphorylation, writer","Histone phosphorylation, writer"
Q9UKI8,Histone PTM writers,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
Q9UM63,Housekeeping DNA-binding TFs,2,1,zf-C2H2,DNA binding;DNA binding,DNA binding
Q8WXB1,Histone modification,1,1,Methyltransf_16,,
Q9Y2K1,Housekeeping DNA-binding TFs,1,1,BTB,Dimerization/oligomerization,Dimerization/oligomerization
Q96AZ1,Histone modification,1,1,Methyltransf_16,,
Q9Y2D1,Housekeeping DNA-binding TFs,1,1,bZIP_1,,
Q99986,Histone modification,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
Q9UQR1,Housekeeping DNA-binding TFs,3,1,zf-C2H2,DNA binding;DNA binding;DNA binding,DNA binding
Q9UPW0,Housekeeping DNA-binding TFs,1,1,Forkhead,,
Q9BUU2,Histone modification,1,1,Methyltransf_16,,
Q9ULX9,Housekeeping DNA-binding TFs,1,1,bZIP_Maf,,
Q9Y2Y9,Housekeeping DNA-binding TFs,3,1,zf-C2H2,DNA binding;DNA binding;DNA binding,DNA binding
Q9UL49,Housekeeping DNA-binding TFs,1,1,HLH,,
Q9BV86,Histone modification,1,1,Methyltransf_PK,,
Q9GZZ1,Histone modification,1,1,Acetyltransf_1,,
Q9UKD1,Housekeeping DNA-binding TFs,1,1,SAND,,
Q9UK33,Housekeeping DNA-binding TFs,2,1,zf-C2H2,DNA binding;DNA binding,DNA binding
Q9H7L9,Histone modification,1,1,Sds3,,
Q9UID6,Housekeeping DNA-binding TFs,1,1,zf-C2H2,DNA binding,DNA binding
Q9UHF7,Housekeeping DNA-binding TFs,1,1,GATA,DNA binding,DNA binding
Q9Y2X9,Housekeeping DNA-binding TFs,2,1,zf-C2H2,DNA binding;DNA binding,DNA binding
Q8WVE0,Histone modification,1,1,N6-adenineMlase,,
O43593,Histone modification,1,1,JmjC,"Histone methylation, eraser","Histone methylation, eraser"
Q5JPI9,Histone modification,1,1,Methyltransf_31,,
O75530,Histone modification,3,1,WD40,Histone binding;Histone binding;Histone binding,Histone binding
P06493,Histone modification,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
Q9H2H0,Methylated DNA binding,1,1,zf-CXXC,DNA binding,DNA binding
P15336,Histone modification,1,1,bZIP_1,,
Q9BQA1,Methylated DNA binding,2,1,WD40,Histone binding;Histone binding,Histone binding
P22087,Histone modification,1,1,Fibrillarin,,
P24941,Histone modification,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
Q13627,Histone modification,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
Q86T24,Methylated DNA binding,1,1,BTB,Dimerization/oligomerization,Dimerization/oligomerization
Q8NE63,Histone modification,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
Q7LFL8,Methylated DNA binding,1,1,zf-CXXC,DNA binding,DNA binding
P84090,Methylated DNA binding,1,1,ER,,
Q6GMV2,Histone modification,1,1,SET,"Histone methylation, writer","Histone methylation, writer"
P51608,Methylated DNA binding,1,1,MBD,DNA methylation,DNA methylation
Q86UY6,Histone modification,1,1,Acetyltransf_1,,
Q86XA0,Histone modification,1,1,Methyltransf_16,,
Q9Y692,Housekeeping DNA-binding TFs,1,1,SAND,,
Q9Y4E5,Housekeeping DNA-binding TFs,1,1,PIN_11,,
O00358,Non-Housekeeping DNA-binding TFs,1,1,Forkhead,,
Q9NQR1,Histone PTM writers,1,1,SET,"Histone methylation, writer","Histone methylation, writer"
Q9H7X0,Histone modification,1,1,Acetyltransf_1,,
Q9Y657,Histone PTM readers,3,1,Spin-Ssty,,
P09630,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
P09629,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
Q9Y3Y4,Histone PTM readers,1,1,PHD,"Histone methylation, reader","Histone methylation, reader"
P09067,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
P09017,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
P09016,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
P08151,Non-Housekeeping DNA-binding TFs,2,1,zf-C2H2,DNA binding;DNA binding,DNA binding
P05549,Non-Housekeeping DNA-binding TFs,1,1,TF_AP-2,,
O96004,Non-Housekeeping DNA-binding TFs,1,1,HLH,,
P0C7M4,Non-Housekeeping DNA-binding TFs,1,1,Homeodomain,DNA binding,DNA binding
O43293,Histone PTM writers,1,1,Pkinase,"Histone phosphorylation, writer","Histone phosphorylation, writer"
O95947,Non-Housekeeping DNA-binding TFs,1,1,T-box,,
O95935,Non-Housekeeping DNA-binding TFs,1,1,T-box,,
O60502,Histone PTM writers,1,1,NAGidase,,
O75150,Histone PTM writers,1,1,zf-C3HC4,,
O95600,Non-Housekeeping DNA-binding TFs,3,1,zf-C2H2,DNA binding;DNA binding;DNA binding,DNA binding
